combo,avg_weight,n_trades,strategy_sharpe,passive_sharpe,mean_excess_per_bar
06_macd_cross × xauusd_1D_comma,0.026883401062832137,948,-0.04967888542455159,0.7024950664199164,-4.278104402516329e-05
07_absolute_momentum × BRENTCMDUSD1440_comma,0.38918412003751174,74,0.2042932223162832,0.10564501081201184,0.00010195057027975698
07_absolute_momentum × DEUIDXEUR1440_comma,0.6655204751484839,61,0.18898478673655075,0.538161693694173,-0.00016935847999190783
07_absolute_momentum × EURUSD1440_comma,0.40012503907471086,85,-0.00017638847176010955,-0.04955543404033065,6.062177323026276e-06
07_absolute_momentum × GBPUSD1440_comma,0.4116911534854642,81,-0.11268146389808487,-0.041408594069380605,-1.4961110635571117e-05
07_absolute_momentum × GBRIDXGBP1440_comma,0.6170678336980306,105,0.027911914083411773,0.2947239499978239,-9.972416611722902e-05
07_absolute_momentum × USA30IDXUSD1440_comma,0.7449202875898718,79,0.33661311813490985,0.6445902352611288,-0.00015806495555524465
07_absolute_momentum × USA500IDXUSD1440_comma,0.7652391372303845,57,0.4795325783513886,0.7582137152925472,-0.00015094755324655202
07_absolute_momentum × USATECHIDXUSD1440_comma,0.7986870897155361,57,0.6494345933276136,0.9143726035632954,-0.00016323617121546556
07_absolute_momentum × USDCAD1440_comma,0.6201938105658018,120,0.016931916225480598,0.34338689424523255,-5.5963341670511795e-05
07_absolute_momentum × USDCHF1440_comma,0.45201625507971244,120,-0.2733830575655496,-0.1481956180060877,-5.25399864062747e-05
07_absolute_momentum × USDJPY1440_comma,0.581119099718662,126,0.2813238831915562,0.3995418567600886,-9.009926232597786e-06
07_absolute_momentum × XAGUSD1440_comma,0.49609252891528605,75,0.5206058316646685,0.5011824257106847,0.00020761107957721492
07_absolute_momentum × xauusd_1D_comma,0.6030009377930603,79,0.603023445270477,0.7024950664199167,4.716109398407124e-05
08_atr_breakout × BRENTCMDUSD1440_comma,0.004063769928102532,699,0.15759765306759116,0.1056450108120118,0.00013919397651409584
08_atr_breakout × DEUIDXEUR1440_comma,0.09909346670834636,574,-0.17168078036669412,0.538161693694173,-0.00012090155183553175
08_atr_breakout × EURUSD1440_comma,-0.0175054704595186,536,-0.6168889613375922,0.0495554340403307,-9.785413221140284e-05
08_atr_breakout × GBPUSD1440_comma,-0.017192872772741483,559,-0.772421465255273,0.041408594069380564,-0.00014786667987559825
08_atr_breakout × GBRIDXGBP1440_comma,0.05032822757111598,557,-0.388916919587183,0.2947239499978239,-0.0001529405378742005
08_atr_breakout × USA30IDXUSD1440_comma,0.1278524538918412,586,-0.16840595144138215,0.644590235261129,-0.0001241018604672683
08_atr_breakout × USA500IDXUSD1440_comma,0.1613004063769928,633,-0.300684307325715,0.7582137152925472,-0.0002074507457581003
08_atr_breakout × USATECHIDXUSD1440_comma,0.19005939356048765,644,-0.5763110922321889,0.9143726035632952,-0.0004336362521832883
08_atr_breakout × USDCAD1440_comma,0.02875898718349484,493,-0.6259274588317792,0.34338689424523255,-9.747833758302117e-05
08_atr_breakout × USDCHF1440_comma,-0.007814942169427946,570,-0.7439745048601383,0.14819561800608777,-0.00018890438993199684
08_atr_breakout × USDJPY1440_comma,0.07971241012816505,532,-0.3933749709384135,0.3995418567600886,-9.236702036662557e-05
08_atr_breakout × XAGUSD1440_comma,0.03251015942482026,577,0.1874085739271352,0.5011824257106847,0.00013342359601914815
08_atr_breakout × xauusd_1D_comma,0.07783682400750234,544,0.021849065368712926,0.7024950664199165,-2.5721953113013037e-05
09_zscore_meanrev × BRENTCMDUSD1440_comma,-0.011878712097530478,666,-0.24035125217305547,-0.10564501081201194,-0.00023499993339872756
09_zscore_meanrev × DEUIDXEUR1440_comma,-0.05376680212566427,555,0.08393332059258546,-0.538161693694173,6.677582698686184e-05
09_zscore_meanrev × EURUSD1440_comma,-0.008440137542982182,445,0.040255441593023085,0.04955543404033071,8.260253971941217e-06
09_zscore_meanrev × GBPUSD1440_comma,-0.0175054704595186,472,-0.15031447227255348,0.04140859406938069,-3.7808124186403736e-05
09_zscore_meanrev × GBRIDXGBP1440_comma,-0.025945608002500783,496,0.2582233146411084,-0.2947239499978239,0.00011452746282259176
09_zscore_meanrev × USA30IDXUSD1440_comma,-0.07314785870584557,479,0.037260344630948086,-0.6445902352611289,4.783175785723483e-05
09_zscore_meanrev × USA500IDXUSD1440_comma,-0.08440137542982182,440,0.2068490846481596,-0.7582137152925473,0.00013716964225368258
09_zscore_meanrev × USATECHIDXUSD1440_comma,-0.11816192560175055,601,0.3791506461661169,-0.9143726035632954,0.00031057700237267284
09_zscore_meanrev × USDCAD1440_comma,-0.05564238824632698,409,-0.3869366472335659,-0.3433868942452326,-6.52822919131912e-05
09_zscore_meanrev × USDCHF1440_comma,0.023444826508283837,387,0.4337384646897405,-0.14819561800608785,0.00012170758955332976
09_zscore_meanrev × USDJPY1440_comma,-0.06752110034385746,460,-0.1791321408180188,-0.3995418567600885,-3.447215456819889e-05
09_zscore_meanrev × XAGUSD1440_comma,-0.02782119412316349,697,-0.3106367796003892,-0.5011824257106847,-0.00026579876507046985
09_zscore_meanrev × xauusd_1D_comma,-0.09409190371991247,644,-0.3168678394451009,-0.7024950664199165,-0.00010456878167468527
10_roc_momentum × BRENTCMDUSD1440_comma,-0.012816505157861832,1391,-0.08809313796677043,-0.1056450108120118,-0.00012252240987229896
10_roc_momentum × DEUIDXEUR1440_comma,0.2772741481713035,823,-0.09406776118916435,0.538161693694173,-0.00017898187217778378
10_roc_momentum × EURUSD1440_comma,-0.030634573304157548,556,0.09446975601172825,0.04955543404033072,2.2024961243479255e-05
10_roc_momentum × GBPUSD1440_comma,-0.013754298218193186,641,0.250758029715719,0.04140859406938057,7.283977732209838e-05
10_roc_momentum × GBRIDXGBP1440_comma,0.1891216005001563,833,-0.4239345912848787,0.294723949997824,-0.00025697227758366586
10_roc_momentum × USA30IDXUSD1440_comma,0.3744920287589872,664,-0.256062463021184,0.6445902352611289,-0.00030572027770545156
10_roc_momentum × USA500IDXUSD1440_comma,0.47202250703344795,640,0.07266763655276487,0.7582137152925472,-0.00019303292278517078
10_roc_momentum × USATECHIDXUSD1440_comma,0.4976555173491716,678,0.11299527736658067,0.9143726035632955,-0.00028775535690835996
10_roc_momentum × USDCAD1440_comma,0.10315723663644889,454,-0.31236427315835785,0.34338689424523255,-7.731809167815343e-05
10_roc_momentum × USDCHF1440_comma,-0.06283213504220068,589,-0.5218253618314928,0.14819561800608766,-0.00016182836951174218
