status,data_path,timeframe,rsi_length,bb_length,bb_mult,n_windows,mean_IS_sharpe,mean_OOS_sharpe,degradation_ratio,robust,chained_OOS_sharpe,chained_OOS_benchmark_sharpe,chained_OOS_excess_sharpe,chained_OOS_CAGR,chained_OOS_maxdd,n_low_confidence,has_edge
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,14,100,1.5,16,0.157,0.632,4.013,True,0.482,-0.563,1.045,7.53,-42.75,16,True
success,data/raw/onehours/USATECHIDXUSD60_comma.csv,1H,14,200,1.5,16,-0.129,0.116,-0.902,False,-0.032,-1.074,1.043,-3.31,-62.53,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,14,200,1.5,16,-0.055,0.045,-0.833,False,0.003,-1.018,1.021,-1.76,-50.64,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,14,20,1.5,16,0.037,0.036,0.982,False,0.014,-0.998,1.013,-1.54,-56.98,16,True
success,data/raw/daily/GBRIDXGBP1440_comma.csv,1D,6,100,1.5,20,0.216,0.033,0.153,False,0.202,-0.805,1.007,1.95,-28.1,20,True
success,data/raw/fourhours/DEUIDXEUR240_comma.csv,4H,6,200,1.5,19,0.301,0.573,1.901,True,0.492,-0.509,1.0,7.95,-48.02,19,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,14,200,1.5,27,0.202,0.186,0.921,True,0.199,-0.8,0.999,1.42,-33.64,27,True
success,data/raw/daily/xauusd_1D_comma.csv,1D,6,50,1.5,36,0.079,0.002,0.023,False,0.11,-0.867,0.976,0.43,-42.84,36,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,14,100,1.5,16,0.559,0.562,1.004,True,0.571,-0.379,0.95,8.45,-27.98,16,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,14,200,2.0,16,0.533,0.418,0.784,True,0.393,-0.554,0.947,5.3,-37.5,16,True
success,data/raw/onehours/USATECHIDXUSD60_comma.csv,1H,6,20,1.5,16,-0.537,-0.355,0.661,False,-0.455,-1.4,0.945,-12.43,-77.99,16,True
success,data/raw/fourhours/GBRIDXGBP240_comma.csv,4H,14,200,1.5,18,0.232,0.31,1.336,True,0.304,-0.628,0.931,3.71,-32.12,18,True
success,data/raw/onehours/USA500IDXUSD60_comma.csv,1H,14,100,1.5,16,0.09,0.206,2.288,True,0.198,-0.724,0.922,2.06,-43.28,16,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,6,200,2.5,27,0.184,0.388,2.111,True,0.31,-0.609,0.919,2.45,-30.04,27,True
success,data/raw/daily/DEUIDXEUR1440_comma.csv,1D,6,100,1.5,23,-0.157,-0.037,0.236,False,-0.004,-0.918,0.914,-1.9,-59.83,23,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,6,200,1.5,16,-0.165,-0.056,0.343,False,-0.177,-1.082,0.904,-4.13,-47.86,16,True
success,data/raw/fourhours/USATECHIDXUSD240_comma.csv,4H,6,200,2.0,19,0.476,0.259,0.545,True,0.347,-0.55,0.897,5.44,-38.38,19,True
success,data/raw/daily/GBPUSD1440_comma.csv,1D,6,50,1.5,32,0.165,0.051,0.311,False,-0.002,-0.897,0.895,-0.42,-23.29,32,True
success,data/raw/onehours/USATECHIDXUSD60_comma.csv,1H,14,100,1.5,16,0.127,0.211,1.663,True,0.197,-0.695,0.891,1.99,-57.29,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,6,200,1.5,16,-0.383,-0.399,1.042,False,-0.369,-1.261,0.891,-8.68,-64.75,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,6,20,1.5,16,-0.581,-0.609,1.047,False,-0.677,-1.544,0.866,-14.04,-76.03,16,True
success,data/raw/onehours/DEUIDXEUR60_comma.csv,1H,6,200,2.0,16,0.447,0.072,0.161,False,0.069,-0.796,0.865,-0.48,-53.24,16,True
success,data/raw/fourhours/DEUIDXEUR240_comma.csv,4H,6,50,1.5,19,0.137,0.202,1.475,True,0.196,-0.663,0.859,1.96,-46.38,19,True
success,data/raw/onehours/USA500IDXUSD60_comma.csv,1H,6,20,1.5,16,-0.826,-0.941,1.14,False,-0.995,-1.853,0.859,-18.83,-84.37,16,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,6,200,2.0,16,0.51,0.37,0.725,True,0.35,-0.499,0.849,4.56,-36.84,16,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,6,200,2.0,27,0.08,-0.029,-0.357,False,0.002,-0.839,0.841,-0.39,-32.17,27,True
success,data/raw/daily/DEUIDXEUR1440_comma.csv,1D,6,50,1.5,23,0.273,0.408,1.495,True,0.406,-0.413,0.819,6.19,-42.68,23,True
success,data/raw/fourhours/GBRIDXGBP240_comma.csv,4H,6,200,2.0,18,0.288,0.446,1.547,True,0.362,-0.454,0.816,4.68,-36.71,18,True
success,data/raw/daily/GBRIDXGBP1440_comma.csv,1D,14,200,2.5,20,-0.359,-1.211,3.37,False,-0.483,-1.285,0.802,-2.13,-28.1,20,True
success,data/raw/fourhours/DEUIDXEUR240_comma.csv,4H,6,200,2.0,19,0.083,0.049,0.59,True,0.042,-0.758,0.8,-1.01,-48.45,19,True
success,data/raw/daily/GBPUSD1440_comma.csv,1D,6,200,1.5,32,-0.003,0.007,-2.521,False,-0.019,-0.815,0.796,-0.57,-36.5,32,True
success,data/raw/fourhours/GBPUSD240_comma.csv,4H,6,100,2.0,27,0.257,0.33,1.285,True,0.318,-0.469,0.787,2.52,-22.25,27,True
success,data/raw/onehours/USA30IDXUSD60_comma.csv,1H,14,200,1.5,16,-0.097,0.109,-1.129,False,0.141,-0.641,0.782,0.97,-46.79,16,True
success,data/raw/daily/GBPUSD1440_comma.csv,1D,6,100,1.5,32,-0.022,-0.073,3.365,False,-0.073,-0.853,0.78,-1.05,-34.55,32,True
success,data/raw/fourhours/USA30IDXUSD240_comma.csv,4H,6,200,2.0,19,0.406,0.35,0.862,True,0.363,-0.414,0.778,4.99,-30.69,19,True
success,data/raw/fourhours/GBRIDXGBP240_comma.csv,4H,6,200,1.5,18,0.454,0.383,0.843,True,0.426,-0.341,0.767,5.79,-29.82,18,True
success,data/raw/onehours/GBRIDXGBP60_comma.csv,1H,14,20,1.5,16,-0.039,-0.116,2.96,False,-0.09,-0.852,0.763,-2.75,-48.3,16,True
